time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation,city,demand,hour,day_of_week,month,season,kmeans_cluster
1559131200,Humid,clear-day,0.0012919896640826,0.02,0.6533272974196468,0.7124362196329297,74.15,0.95,0.4655436447166945,0.2326007326007326,0.3514540961794336,0.4568245125348189,0.11,0.0,0.9744506898313744,rain,0.3508896797153026,0.008611082970317,dallas,15560.0,12,2,5,Spring,6
1559134800,Humid,clear-day,0.002422480620155,0.03,0.6627433227704843,0.720051785850278,74.22,0.92,0.4701378254211334,0.2868131868131868,0.3955521763923209,0.4484679665738161,0.24,0.0833333333333333,1.0,rain,0.3455516014234877,0.008611082970317,dallas,15732.0,13,2,5,Spring,3
1559138400,Humid,clear-day,0.0113856589147286,0.09,0.6787686736079673,0.7443454420836189,74.16,0.86,0.4747320061255742,0.3531135531135531,0.3860482797947158,0.4568245125348189,0.3,0.1666666666666666,1.0,rain,0.3373665480427047,0.008611082970317,dallas,15863.0,14,2,5,Spring,3
1559142000,Humid and Partly Cloudy,partly-cloudy-day,0.0199450904392764,0.15,0.6972385694884563,0.7770923768182164,74.8,0.83,0.4747320061255742,0.3985347985347985,0.3866185135905721,0.4735376044568245,0.43,0.3333333333333333,1.0,rain,0.3298932384341636,0.008611082970317,dallas,15279.0,15,2,5,Spring,6
1559145600,Rain and Humid,rain,0.1195897932816537,0.33,0.7083748302399274,0.7976544056050567,75.49,0.81,0.4686064318529865,0.4278388278388279,0.3516441741113857,0.4735376044568245,0.46,0.5,1.0,rain,0.3259786476868328,0.008611082970317,dallas,14904.0,16,2,5,Spring,6
1559149200,Rain and Humid,rain,0.0290697674418604,0.3,0.7156179266636487,0.8106008681745488,75.86,0.8,0.4594180704441033,0.3978021978021978,0.3273141988215168,0.5013927576601671,0.42,0.6666666666666666,1.0,rain,0.3238434163701068,0.008611082970317,dallas,15054.0,17,2,5,Spring,6
1559152800,Humid and Partly Cloudy,partly-cloudy-day,0.0155846253229974,0.22,0.7343594386600271,0.8430431802604524,76.63,0.77,0.447166921898928,0.4216117216117216,0.4212126972058544,0.4568245125348189,0.38,0.75,1.0,rain,0.3409252669039145,0.008611082970317,dallas,14949.0,18,2,5,Spring,6
1559156400,Rain and Humid,rain,0.0314922480620155,0.27,0.7390674513354458,0.8416723783413297,75.63,0.73,0.4410413476263404,0.4446886446886447,0.38642843565862,0.49025069637883,0.61,0.5833333333333333,1.0,rain,0.3427046263345196,0.008611082970317,dallas,14557.0,19,2,5,Spring,6
1559160000,Rain and Humid,rain,0.0385981912144702,0.39,0.7206880941602535,0.811895514431498,74.85,0.76,0.4379785604900466,0.4549450549450549,0.4521954001140468,0.532033426183844,0.7,0.5,0.95074092999489,rain,0.3434163701067615,0.008611082970317,dallas,14164.0,20,2,5,Spring,6
1559163600,Rain and Humid,rain,0.0801033591731266,0.44,0.7000452693526482,0.7792247353590739,74.22,0.8,0.4395099540581935,0.4186813186813187,0.3801558639042007,0.6880222841225627,0.77,0.4166666666666666,0.917731221257026,rain,0.3441281138790034,0.008611082970317,dallas,13800.0,21,2,5,Spring,6
1559167200,Rain and Humid,rain,0.0627422480620155,0.47,0.6886373924852874,0.7607950651130911,73.99,0.83,0.4395099540581935,0.3626373626373627,0.2963314959133244,0.7047353760445683,0.79,0.25,0.805109862033725,rain,0.3444839857651246,0.008611082970317,dallas,13561.0,22,2,5,Spring,6
1559170800,Rain and Humid,rain,0.0692021963824289,0.55,0.6727931190583974,0.7275150407432792,73.59,0.87,0.4425727411944891,0.3043956043956044,0.2391180383957422,0.9721448467966574,0.79,0.1666666666666666,0.627082268778743,rain,0.3448398576512453,0.008611082970317,dallas,12619.0,23,2,5,Spring,1
1559174400,Rain and Humid,rain,0.0433624031007751,0.33,0.6593028519692169,0.7149493564846546,72.07,0.87,0.4456355283307811,0.2483516483516483,0.2267629728188557,0.947075208913649,0.55,0.0833333333333333,0.5976494634644864,rain,0.3551601423487546,0.008611082970317,dallas,11598.0,0,3,5,Spring,1
1559178000,Rain,rain,0.0302002583979328,0.3,0.6483476686283386,0.7050491204021019,71.04,0.87,0.4594180704441033,0.2212454212454212,0.2168789203573465,0.9192200557103064,0.44,0.0,0.693919264179867,rain,0.3551601423487546,0.008611082970317,dallas,10534.0,1,3,5,Spring,4
1559181600,Possible Light Rain,rain,0.0182493540051679,0.29,0.6397464916251697,0.6977381768334476,70.79,0.89,0.473200612557429,0.2065934065934065,0.2267629728188557,0.9832869080779943,0.54,0.0,0.8173735309146651,rain,0.3544483985765124,0.008611082970317,dallas,9893.0,2,3,5,Spring,4
